,Unnamed: 0,Ranking,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recoverd,New Recoverd,Active Cases,Serious Cases
8,8,1,USA,85113962,53287,1029121,106,81701524,69377,2383317,2278
9,9,2,India,43139499,1106,524459,0,42599102,0,15938,698
10,10,3,Brazil,30803995,12775,665727,47,29851917,19898,286351,8318
11,11,4,France,29359336,4386,147917,82,28609930,66962,601489,1173
12,12,5,Germany,26103628,18011,138738,26,24708600,106100,1256290,944
13,13,6,UK,22238715,0,177977,0,21836316,17105,224422,188
14,14,7,Russia,18297608,4158,378426,76,17694020,5117,225162,2300
15,15,8,S. Korea,17967672,9975,23987,22,17414103,42223,529582,229
16,16,9,Italy,17257573,9820,166032,80,16258494,27490,833047,291
17,17,10,Turkey,15063203,922,98929,3,14961011,1105,3263,975
18,18,11,Spain,12238073,0,105947,0,11620275,0,511851,339
19,19,12,Vietnam,10710066,1179,43076,1,9405908,3862,1261082,216
20,20,13,Argentina,9178795,0,128825,0,8895999,0,153971,300
21,21,14,Japan,8618683,31262,30307,15,8243263,32927,345113,96
22,22,15,Netherlands,8077873,737,22307,0,8015332,4663,40234,36
23,23,16,Iran,7230321,268,141281,7,7035798,1812,53242,649
24,24,17,Australia,6983004,34036,8109,12,6563517,0,411378,106
25,25,18,Colombia,6099111,0,139833,0,5930545,0,28733,342
26,26,19,Indonesia,6052764,174,156534,12,5893340,929,2890,2771
27,27,20,Poland,6005596,65,116268,0,5335262,12,554066,981
28,28,21,Mexico,5752441,0,324617,0,5050420,0,377404,4798
29,29,22,Ukraine,5009301,0,108497,0,0,0,0,177
30,30,23,Malaysia,4492864,1544,35645,2,4432071,2905,25148,39
31,31,24,Thailand,4415593,4099,29778,29,4334812,8856,51003,1496
32,32,25,Austria,4235183,1753,18599,252,4173311,3940,43273,52
33,33,26,Belgium,4134293,0,31675,0,3990880,6764,111738,105
34,34,27,Israel,4123806,2480,10833,6,4098862,2290,14111,150
35,35,28,Portugal,4066674,0,22583,0,0,0,0,61
36,36,29,South Africa,3931534,1662,100952,19,3739543,0,91039,192
37,37,30,Czechia,3918127,62,40266,0,3876254,501,1607,6
38,38,31,Canada,3846998,0,40679,0,3516903,0,289416,370
39,39,32,Philippines,3689132,191,60455,0,3626406,172,2271,480
40,40,33,Chile,3647361,4225,57810,8,3486661,2663,102890,136
41,41,34,Switzerland,3642604,0,13934,0,3579618,3619,49052,71
42,42,35,Peru,3576042,0,213106,0,0,0,0,189
43,43,36,Greece,3422233,2235,29711,21,3346122,4750,46400,151
44,44,37,Denmark,2979238,0,6312,0,2965874,531,7052,11
45,45,38,Romania,2906285,234,65654,2,0,0,0,101
46,46,39,DPRK,2814380,167650,68,1,2334910,267640,479402,0
47,47,40,Sweden,2506607,0,18908,0,2480483,413,7216,7
48,48,41,Iraq,2327387,118,25218,2,2301061,142,1108,10
49,49,42,Serbia,2015382,296,16068,3,1992675,595,6639,8
50,50,43,Bangladesh,1953264,31,29130,2,1901157,193,22977,1259
51,51,44,Hungary,1914697,0,46446,0,1830803,0,37448,21
52,52,45,Slovakia,1788490,38,20081,1,1765106,50,3303,30
53,53,46,Jordan,1694216,0,14048,0,1678941,0,1227,124
54,54,47,Georgia,1655221,0,16811,0,1637293,0,1117,0
55,55,48,Ireland,1551835,0,7244,0,1525470,1546,19121,28
56,56,49,Pakistan,1529834,49,30379,0,1494141,0,5314,87
57,57,50,Norway,1431697,406,3094,0,0,0,0,20
58,58,51,Taiwan,1386640,66283,1436,40,172535,23075,1212669,0
59,59,52,Kazakhstan,1305697,6,13661,0,1291885,5,151,24
60,60,53,Singapore,1272386,2751,1377,2,1193116,4285,77893,6
61,61,54,Hong Kong,1210586,190,9370,0,0,0,0,5
62,62,55,Morocco,1166716,88,16075,0,1149656,55,985,293
63,63,56,Bulgaria,1163706,293,37106,13,1044355,1716,82245,41
64,64,57,Croatia,1134269,37,15968,2,1115682,522,2619,5
65,65,58,New Zealand,1105317,6067,1017,10,1049783,7105,54517,0
66,66,59,Cuba,1105016,37,8529,0,1096163,46,324,23
67,67,60,Lebanon,1098640,64,10418,1,1085901,219,2321,186
68,68,61,Finland,1081225,0,4406,0,0,0,0,21
69,69,62,Lithuania,1061549,14,9134,0,1035276,141,17139,11
70,70,63,Tunisia,1041789,0,28628,0,0,0,0,29
71,71,64,Slovenia,1022600,86,6630,1,1009441,199,6529,7
72,72,65,Belarus,982867,0,6978,0,0,0,0,0
73,73,66,Nepal,979076,8,11952,0,966991,16,133,0
74,74,67,Bolivia,907307,83,21945,1,866011,332,19351,220
75,75,68,UAE,905151,321,2302,0,888939,355,13910,0
76,76,69,Uruguay,902540,0,7213,0,892434,0,2893,18
77,77,70,Costa Rica,877533,0,8472,0,848035,0,21026,38
78,78,71,Ecuador,874719,0,35617,0,0,0,0,759
79,79,72,Guatemala,856576,80,17969,15,836034,158,2573,5
80,80,73,Panama,832045,1758,8229,2,797202,3156,26614,16
81,81,74,Latvia,827201,345,5815,2,818845,588,2541,7
82,82,75,Azerbaijan,792714,2,9710,0,782957,0,47,0
83,83,76,Saudi Arabia,763692,650,9131,1,748030,538,6531,73
84,84,77,Sri Lanka,663765,7,16512,0,646939,2,314,0
85,85,78,Paraguay,650283,0,18885,0,624673,0,6725,4
86,86,79,Kuwait,632781,0,2555,0,629695,0,531,4
87,87,80,Myanmar,613227,5,19434,0,592189,3,1604,0
88,88,81,Palestine,582363,117,5356,1,576879,115,128,17
89,89,82,Bahrain,581866,495,1483,1,576076,606,4307,5
90,90,83,Dominican Republic,581464,113,4377,0,576408,261,679,1
91,91,84,Estonia,575046,0,2561,0,516588,0,55897,4
92,92,85,Venezuela,523343,0,5716,0,516506,0,1121,230
93,93,86,Moldova,517753,0,11503,0,504142,0,2108,49
94,94,87,Egypt,515645,0,24613,0,442182,0,48850,122
95,95,88,Libya,501904,0,6430,0,490973,0,4501,101
96,96,89,Cyprus,477711,0,1032,0,124370,0,352309,60
97,97,90,Ethiopia,471423,50,7512,0,455815,5,8096,10
98,98,91,Mongolia,469885,0,2179,0,313256,0,154450,192
99,99,92,Honduras,424859,88,10896,0,132401,0,281562,105
100,100,93,Armenia,422939,22,8624,1,412240,169,2075,0
101,101,94,Réunion,411363,0,770,0,403795,0,6798,10
102,102,95,Oman,389473,0,4260,0,384669,0,544,2
103,103,96,Bosnia and Herzegovina,377745,36,15785,2,0,0,0,0
104,104,97,Qatar,367272,173,677,0,365538,123,1057,0
105,105,98,Kenya,324274,32,5651,0,318324,48,299,0
106,106,99,Zambia,321195,49,3985,0,316628,110,582,0
107,107,100,North Macedonia,311350,151,9297,0,301545,184,508,0
108,108,101,Botswana,306614,0,2692,0,303619,0,303,1
109,109,102,Albania,275881,17,3497,0,272162,37,222,2
110,110,103,Algeria,265855,1,6875,0,178386,0,80594,6
111,111,104,Nigeria,255937,0,3143,0,249996,0,2798,11
112,112,105,Zimbabwe,250702,60,5495,1,243093,60,2114,12
113,113,106,Luxembourg,244182,0,1073,0,235939,0,7170,0
114,114,107,Uzbekistan,238940,11,1637,0,237161,15,142,23
115,115,108,Montenegro,236762,41,2719,0,233404,42,639,6
116,116,109,Mozambique,225586,9,2203,2,223303,24,80,13
117,117,110,Laos,209744,16,754,0,0,0,0,0
118,118,111,Kyrgyzstan,200993,0,2991,0,196406,0,1596,131
119,119,112,Iceland,186969,0,153,0,0,0,0,0
120,120,113,Afghanistan,179716,0,7698,0,162741,0,9277,1124
121,121,114,Maldives,179662,102,298,0,163687,0,15677,25
122,122,115,Namibia,164953,103,4033,1,157953,138,2967,0
123,123,116,Uganda,164069,0,3596,0,100205,0,60268,2
124,124,117,El Salvador,162089,0,4131,1,150662,0,7296,8
125,125,118,Ghana,161351,0,1445,0,159865,0,41,1
126,126,119,Trinidad and Tobago,158668,443,3895,2,145462,659,9311,18
127,127,120,Martinique,153253,0,926,0,104,0,152223,8
